node1,node2,Layer
OMA01946,OMA00409,Metabolic
OMA01946,OMA02025,Metabolic
OMA01946,OMA02205,Metabolic
OMA01946,OMA03787,Metabolic
OMA03001,OMA01946,Regulatory
OMA05145,OMA01946,Regulatory
OMA05327,OMA01946,Regulatory
OMA03722,OMA01946,PPI
OMA01946,OMA01946,PPI
OMA03307,OMA03000,Metabolic
OMA03328,OMA03000,Metabolic
OMA02591,OMA03000,Regulatory
OMA03616,OMA03000,Regulatory
OMA03000,OMA03000,PPI
OMA02591,OMA00705,Regulatory
OMA03616,OMA00705,Regulatory
OMA00705,OMA00705,PPI
OMA00504,OMA00721,Metabolic
OMA00719,OMA00504,Metabolic
OMA02591,OMA00504,Regulatory
OMA02591,OMA00705,Regulatory
OMA02591,OMA00721,Regulatory
OMA02591,OMA03000,Regulatory
OMA02591,OMA03266,Regulatory
OMA02591,OMA00129,Regulatory
OMA02591,OMA00504,Regulatory
OMA02591,OMA00513,Regulatory
OMA02591,OMA00618,Regulatory
OMA02591,OMA00760,Regulatory
OMA02591,OMA00844,Regulatory
OMA02591,OMA00879,Regulatory
OMA02591,OMA01084,Regulatory
OMA02591,OMA01136,Regulatory
OMA02591,OMA01385,Regulatory
OMA02591,OMA01493,Regulatory
OMA02591,OMA01608,Regulatory
OMA02591,OMA01710,Regulatory
OMA02591,OMA01772,Regulatory
OMA02591,OMA01784,Regulatory
OMA02591,OMA01869,Regulatory
OMA02591,OMA02062,Regulatory
OMA02591,OMA02348,Regulatory
OMA02591,OMA02356,Regulatory
OMA02591,OMA02522,Regulatory
OMA02591,OMA02534,Regulatory
OMA02591,OMA02591,Regulatory
OMA02591,OMA02631,Regulatory
OMA02591,OMA02707,Regulatory
OMA02591,OMA02928,Regulatory
OMA02591,OMA03075,Regulatory
OMA02591,OMA03291,Regulatory
OMA02591,OMA03521,Regulatory
OMA02591,OMA03558,Regulatory
OMA02591,OMA03761,Regulatory
OMA02591,OMA03838,Regulatory
OMA02591,OMA04133,Regulatory
OMA02591,OMA04283,Regulatory
OMA02591,OMA04474,Regulatory
OMA02591,OMA04616,Regulatory
OMA02591,OMA04960,Regulatory
OMA02591,OMA05171,Regulatory
