Node 1 Ortholog group ID	Node 2 Ortholog group ID	Edge tag	S typhi strain CT18	S choleraesuis SC B67	S dublin CT 02021853	S gallinarum 287/91	S paratyphi A ATCC 9150	S agona SL483	S enteritidis P125109	S heidelberg SL476	S newport SL254	S typhimurium LT2	S typhimurium SL1344	Layer
0	3361	0-3361	1	1	1	0	1	1	1	1	1	1	1	Metabolic
0	868	0-868	1	1	1	1	1	1	1	1	1	1	1	Metabolic
0	1336	0-1336	1	1	1	1	1	1	1	1	1	1	1	Metabolic
0	464	0-464	1	1	1	1	1	1	1	1	1	1	1	Metabolic
4	1987	4-1987	1	1	1	1	1	1	1	1	1	1	1	Metabolic
8	1788	8-1788	1	1	1	1	1	1	1	1	1	1	1	Metabolic
8	3866	8-3866	1	1	1	1	1	1	1	1	1	1	1	Metabolic
8	1200	8-1200	1	1	1	1	1	1	1	1	1	1	1	Metabolic
8	4212	8-4212	1	1	1	1	0	1	1	1	1	1	1	Metabolic
15	1228	15-1228	1	1	1	1	1	1	1	1	1	1	1	Metabolic
17	1642	17-1642	1	1	1	1	1	1	1	1	1	1	1	Metabolic
17	561	17-561	1	1	1	1	1	1	1	1	1	1	1	Metabolic
17	1686	17-1686	1	1	1	1	1	1	1	1	1	1	1	Metabolic
17	4671	17-4671	1	0	0	0	1	0	0	0	0	1	1	Metabolic
20	4117	20-4117	1	1	1	1	1	1	1	1	1	1	1	Metabolic
20	3186	20-3186	1	1	1	1	1	1	1	1	1	1	1	Metabolic
22	1760	22-1760	1	1	1	1	1	1	1	1	1	1	1	Metabolic
22	8	22-8	1	1	1	1	1	1	1	1	1	1	1	Metabolic
22	4212	22-4212	1	1	1	1	0	1	1	1	1	1	1	Metabolic
30	2449	30-2449	1	1	1	1	1	1	1	1	1	1	1	Metabolic
31	2061	31-2061	1	1	1	1	1	1	1	1	1	1	1	Metabolic
33	674	33-674	0	1	1	1	1	1	1	1	1	1	1	Metabolic
33	1262	33-1262	0	1	1	1	1	1	1	1	1	1	1	Metabolic
33	403	33-403	0	1	1	1	1	1	1	1	1	1	1	Metabolic
33	872	33-872	0	1	1	1	1	1	1	1	1	1	1	Metabolic
33	1294	33-1294	0	1	1	1	1	1	1	1	1	1	1	Metabolic
33	457	33-457	0	1	1	1	1	1	1	1	1	1	1	Metabolic
33	82	33-82	0	1	1	1	1	1	1	1	1	1	1	Metabolic
36	679	36-679	1	1	1	1	1	1	1	1	1	1	1	Metabolic
38	3726	38-3726	1	1	1	1	1	1	1	1	1	1	1	Metabolic
38	2177	38-2177	1	1	1	1	1	1	1	1	1	1	1	Metabolic
41	2227	41-2227	1	1	1	1	1	1	1	1	1	1	1	Metabolic
41	38	41-38	1	1	1	1	1	1	1	1	1	1	1	Metabolic
41	1982	41-1982	1	1	1	1	1	1	1	1	1	1	1	Metabolic
51	3420	51-3420	1	1	1	1	1	1	1	1	1	1	1	Metabolic
51	2449	51-2449	1	1	1	1	1	1	1	1	1	1	1	Metabolic
56	319	56-319	1	0	1	1	1	1	1	1	1	1	1	Metabolic
56	1479	56-1479	1	0	1	1	1	1	1	1	1	1	1	Metabolic
56	2654	56-2654	1	0	1	1	1	1	1	1	0	1	1	Metabolic
65	1321	65-1321	1	1	1	1	1	1	1	1	1	1	1	Metabolic
65	3138	65-3138	1	1	1	1	1	1	1	1	1	1	1	Metabolic
65	3872	65-3872	1	1	1	1	1	1	1	1	1	1	1	Metabolic
68	3188	68-3188	1	1	1	1	1	1	1	1	1	1	1	Metabolic
68	1016	68-1016	1	1	1	1	1	1	1	1	1	1	1	Metabolic
70	1820	70-1820	1	1	1	1	1	1	1	1	1	1	1	Metabolic
70	2617	70-2617	1	1	1	1	1	1	1	1	1	1	1	Metabolic
70	3311	70-3311	1	1	1	1	1	1	1	1	1	1	1	Metabolic
70	1712	70-1712	1	1	1	1	1	1	1	1	1	1	1	Metabolic
72	910	72-910	1	1	1	1	1	1	1	1	1	1	1	Metabolic
72	654	72-654	1	1	1	1	1	1	1	1	1	1	1	Metabolic
82	872	82-872	0	1	1	1	1	1	1	1	1	1	1	Metabolic
82	457	82-457	0	1	1	1	1	1	1	1	1	1	1	Metabolic
84	3699	84-3699	1	1	1	1	1	1	1	1	1	1	1	Metabolic
84	884	84-884	1	1	1	1	1	1	1	1	1	1	1	Metabolic
86	86	86-86	1	1	1	1	1	1	1	1	1	1	1	Metabolic
86	3880	86-3880	1	1	1	1	1	1	1	1	1	1	1	Metabolic
86	2122	86-2122	1	1	1	1	1	1	1	1	1	1	1	Metabolic
86	2770	86-2770	1	1	1	1	1	1	1	1	1	1	1	Metabolic
88	2426	88-2426	1	0	1	1	1	1	1	1	1	1	1	Metabolic
88	4074	88-4074	1	0	1	1	1	1	1	1	1	1	1	Metabolic
88	4524	88-4524	0	0	0	0	0	0	0	0	0	0	1	Metabolic
89	2568	89-2568	1	1	1	1	1	1	1	1	1	1	1	Metabolic
90	3171	90-3171	1	1	1	1	1	1	1	1	1	1	1	Metabolic
90	2524	90-2524	1	1	1	1	1	1	1	1	1	1	1	Metabolic
92	2962	92-2962	1	1	1	1	1	1	1	1	1	1	1	Metabolic
92	3673	92-3673	1	1	1	1	1	1	1	1	1	1	1	Metabolic
96	798	96-798	1	1	1	1	1	1	1	1	1	1	1	Metabolic
97	2170	97-2170	1	0	1	1	1	1	1	1	1	1	1	Metabolic
97	1796	97-1796	1	0	1	1	1	1	1	1	1	1	1	Metabolic
100	2771	100-2771	1	1	1	1	1	1	1	1	1	1	1	Metabolic
101	1266	101-1266	1	1	1	1	1	1	1	1	1	1	1	Metabolic
111	2212	111-2212	1	1	1	1	1	1	1	1	1	1	1	Metabolic
111	3056	111-3056	1	1	1	1	1	1	1	1	1	1	1	Metabolic
111	561	111-561	1	1	1	1	1	1	1	1	1	1	1	Metabolic
111	1686	111-1686	1	1	1	1	1	1	1	1	1	1	1	Metabolic
121	3615	121-3615	1	1	1	1	1	1	1	1	1	1	1	Metabolic
121	561	121-561	1	1	1	1	1	1	1	1	1	1	1	Metabolic
121	1686	121-1686	1	1	1	1	1	1	1	1	1	1	1	Metabolic
